,incident_name,incident_date_created,incident_administrative_unit,incident_county,incident_location,incident_acres_burned,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created
1060,Johnson Fire,2018-07-15 16:14:00,CAL FIRE Humboldt-Del Norte Unit,Humboldt,Highway 169 in Pecwan,16,CAL FIRE Humboldt-Del Norte Unit,-123.85404,41.34453,2019-01-04 09:43:00,2019-01-04,2018-07-15
1061,3-18 Fire,2018-07-15 16:45:00,CAL FIRE Lassen-Modoc Unit,Lassen,"Punkin Center Road and Juniper Road, 6 miles southwest of the Community of Bieber",32,CAL FIRE Lassen-Modoc Unit,-121.05722,41.08583,2019-01-04 09:42:00,2019-01-04,2018-07-15
1062,3-16 Fire,2018-07-15 18:54:00,CAL FIRE Lassen-Modoc Unit,Lassen,near Little Valley,89,CAL FIRE Lassen-Modoc Unit,-121.27049,40.946659999999994,2019-01-04 09:42:00,2019-01-04,2018-07-15
1063,Tuscan Fire,2018-07-15 17:15:00,CAL FIRE Tehama-Glenn Unit,Tehama,"Hwy 36 E and Tuscan Lookout Road, 7 miles NE of Red Bluff near Hog Lake",50,CAL FIRE Tehama-Glenn Unit,-122.11375,40.27754,2019-01-04 09:43:00,2019-01-04,2018-07-15
1064,Mill Creek 1 Fire,2018-08-16 09:18:00,Hoopa Valley Tribe ,Humboldt,"Hwy 96 & Mill Creek Road, northeast of the Town of Hoopa",3674,Hoopa Valley Tribe ,-123.688056,41.079440000000005,2019-01-04 09:17:00,2019-01-04,2018-08-16
1065,Camp Fire,2018-07-17 11:13:00,CAL FIRE San Luis Obispo Unit,San Luis Obispo,"off Gage Irving Road, South Lake Nacimiento",14,CAL FIRE San Luis Obispo Unit,-120.97339,35.70086,2019-01-04 09:41:00,2019-01-04,2018-07-17
1066,Border Fire,2018-07-17 14:05:00,CAL FIRE San Diego County Fire Authority,San Diego,north of the Meixcan border and east of the Otay port of entry,28,CAL FIRE San Diego County Fire Authority,-116.8663,32.557565999999994,2019-01-04 09:41:00,2019-01-04,2018-07-17
1067,Lott Fire,2018-07-17 19:03:00,CAL FIRE Siskiyou Unit,Siskiyou,"off Lott Rd and Bunny Ln, 15 miles north of Weed ",10,CAL FIRE Siskiyou Unit,-122.37985,41.632373,2019-01-04 09:40:00,2019-01-04,2018-07-17
1068,Cruces Fire,2018-07-18 11:55:00,Santa Barbara County Fire,Santa Barbara,"off Highway 1 and Highway 101, North of Gaviota",77,Santa Barbara County Fire,-120.31805556,34.54305556,2019-01-04 09:40:00,2019-01-04,2018-07-18
1069,Eighty Eight Fire,2018-07-18 14:24:00,CAL FIRE Sonoma-Lake-Napa Unit,Yolo,"off County Road 88 and County Road 29, north of Winters",822,CAL FIRE Sonoma-Lake-Napa Unit,-121.99388889,38.59694444,2019-01-04 09:40:00,2019-01-04,2018-07-18
