,incident_name,incident_date_created,incident_administrative_unit,incident_county,incident_location,incident_acres_burned,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created
467,Sacata Fire,2016-10-11 12:58:00,USFS Sierra National Forest,Fresno,"near Sacata Ridge, located above Pine Flat",2100,USFS Sierra National Forest,-119.25958999999999,36.94536,2016-10-20 07:00:00,2016-10-20,2016-10-11
468,Emerald Fire,2016-10-14 01:28:00,CAL FIRE Amador- El Dorado Unit / USFS El Dorado National Forest / Lake Valley Fire,El Dorado,"off Highway 89, near Cascade Lake and Emerald Bay.",176,"CAL FIRE Amador- El Dorado Unit / USFS El Dorado National Forest / Lake Valley Fire, CAL FIRE, USFS, Lake Valley, Meeks Bay Fire, South Lake Tahoe Fire, El Dorado Sheriffs, SLT PD, CHP, State Parks, CALTrans, Fallen Leaf Lake Fire, North Tahoe Fire, Liberty Utilities",-120.10744,38.934490000000004,2016-10-17 11:45:00,2016-10-17,2016-10-14
469,Gopher Fire,2016-11-13 11:14:00,CAL FIRE San Diego Unit,San Diego,Off Gopher Canyon & Interstate 15,28,CAL FIRE San Diego Unit,-117.158475,33.254355,2016-11-14 18:00:00,2016-11-14,2016-11-13
470,Marek Fire,2016-11-14 05:45:00,Angeles National Forest ,Los Angeles,Lake View Terrace,4824,Angeles National Forest ,-118.335,34.31,2016-11-14 14:00:00,2016-11-14,2016-11-14
471,Jacobson Fire,2016-10-20 17:00:00,Sequoia National Forest,Tulare,Jacobson Drainage in the Golden Trout Wilderness,10,Sequoia National Forest,-118.551,36.217,2016-12-19 13:30:00,2016-12-19,2016-10-20
472,Meadow Fire,2016-10-29 11:15:00,Sequoia National Forest,Tulare,	East of Trail of 100 Giants between Lloyd Meadow Road and Western Divide Highway.,4347,Sequoia National Forest,-118.551,35.984,2016-12-19 13:30:00,2016-12-19,2016-10-29
473,Aqueduct Fire,2018-04-12 14:30:00,CAL FIRE / Fresno County Fire,Fresno,"25th Ave & Ultica Ave, south of Kettleman City",30,CAL FIRE / Fresno County Fire,-119.94083,35.92436,2019-01-03 09:46:00,2019-01-03,2018-04-12
474,Oroville Spillway ,2017-02-07 14:00:00,Unified Command,Butte,"Oroville Dam, Canyon Dr. & Oroville Dam Rd, Oroville, CA 95966",0,"Unified Command, Butte County Sheriff, Butte County CALFIRE, Oroville Police Department, CHP, Butte County OES, California State Parks, Caltrans, Oroville Fire Department, Butte County Public Works, PG&E, CAL FIRE, Army Corps of Engineers, Federal Energy Regulatory Commission, Oroville Hospital, Red Cross, California Conservation Corps, California National Guard, Bureau of Indian Affairs, CAL OES, Gridley-Biggs Police, and California Department of Fish and Wildlife.",-121.55633,39.51158,2018-01-09 09:24:00,2018-01-09,2017-02-07
475,Grace Fire,2017-04-03 16:00:00,CAL FIRE Shasta-Trintiy Unit,Shasta,"Grace Resort Rd and Bluebush Way, 2 miles SE of the Community of Shingletown",45,CAL FIRE Shasta-Trintiy Unit,-121.85645,40.487120000000004,2018-01-09 09:41:00,2018-01-09,2017-04-03
476,West Fire,2017-04-03 16:00:00,CAL FIRE Lassen-Modoc Unit,Modoc,"Likely, 15 Miles south of Alturas",380,CAL FIRE Lassen-Modoc Unit,-120.58341999999999,41.167159999999996,2018-01-09 09:40:00,2018-01-09,2017-04-03
477,66 Fire,2017-04-13 02:30:00,CAL FIRE Riverside Unit,Riverside,Avenue 66 and Hwy 111 near community of Mecca,15,CAL FIRE Riverside Unit,-116.08003000000001,33.56777,2018-01-09 09:50:00,2018-01-09,2017-04-13
478,Jayne Fire,2017-04-20 15:40:00,CAL FIRE Fresno Kings Unit,Fresno,Off of Hwy 33 and Lost Hills south of Coalinga,5738,CAL FIRE Fresno Kings Unit,-120.26561000000001,36.07228,2018-01-09 09:51:00,2018-01-09,2017-04-20
479,Soledad Fire,2017-04-24 12:06:00,CAL FIRE San Benito-Monterey Unit ,Monterey,"Highway 101 & Front Street, north of Soledad ",10,CAL FIRE San Benito-Monterey Unit ,-121.34695,36.44141,2018-01-09 09:51:00,2018-01-09,2017-04-24
480,El Dorado Fire,2017-04-28 15:40:00,Fresno County Fire ,Fresno," El Dorado Ave & Kamm Ave, northeast of Coalinga",976,Fresno County Fire ,-120.20659199999999,36.530836,2018-01-09 09:52:00,2018-01-09,2017-04-28
481,Tumey Fire,2017-04-29 17:15:00,CAL FIRE Fresno-Kings Unit,Fresno,"Panoche Rd, 5 miles west of I-5",126,CAL FIRE Fresno-Kings Unit,-120.6585,36.5355,2018-01-09 09:52:00,2018-01-09,2017-04-29
482,Tower Fire,2017-04-30 16:03:00,USFS - San Bernardino National Forest,San Bernardino,"Cleghorn Road, east of I-15, north of the community of Devore",150,USFS - San Bernardino National Forest,-117.45646,34.30104,2018-01-09 09:53:00,2018-01-09,2017-04-30
483,Opera Fire,2017-04-30 15:23:00,CAL FIRE/Riverside County Fire,Riverside,"off Opera Loop & East Palmyrita Avenue, in Highgrove ",1350,CAL FIRE/Riverside County Fire,-117.30693000000001,34.00566,2018-01-09 09:53:00,2018-01-09,2017-04-30
484,Jameson Fire,2017-04-30 19:43:00,CAL FIRE/Riverside County Fire,Riverside,"Jameson Rd and Clay Canyon Dr., south of Corona",12,CAL FIRE/Riverside County Fire,-117.5048,33.7866,2018-01-09 09:54:00,2018-01-09,2017-04-30
485,Fay Fire,2017-05-01 12:44:00,Kern County Fire,Kern,"Fay Ranch Rd, northeast of Lake Isabella",19,Kern County Fire,-118.30601000000001,35.717040000000004,2018-01-09 09:54:00,2018-01-09,2017-05-01
486,Olive Fire,2017-05-02 14:32:00,CAL FIRE San Luis Obispo Unit,San Luis Obispo,"Off Highway 41, north of Cholame",130,CAL FIRE San Luis Obispo Unit,-120.22646999999999,35.78286,2018-01-09 09:54:00,2018-01-09,2017-05-02
487,Shandon Fire,2017-05-07 16:41:00,CAL FIRE San Luis Obispo Unit,San Luis Obispo,"Off Lucy Brown Rd, in Shandon",12,CAL FIRE San Luis Obispo Unit,-120.3317,35.6879,2018-01-09 09:55:00,2018-01-09,2017-05-07
488,Sonoma Fire,2017-05-10 15:27:00,CAL FIRE/Fresno County Fire,Fresno,"off Sonoma Ave & Cerini Ave, west of Helm ",400,CAL FIRE/Fresno County Fire,-120.2445,36.45491,2018-01-09 09:55:00,2018-01-09,2017-05-10
489,Hub Fire,2017-05-12 05:05:00,Kern County Fire,Kern,"Red Hill Road and Schick Road, 2 miles east of Lake Isabella",31,Kern County Fire,-118.4683,35.60001,2018-01-09 09:55:00,2018-01-09,2017-05-12
490,Wright Fire,2017-05-12 15:30:00,CAL FIRE Madera-Mariposa-Merced Unit,Merced,"Hwy 152 and Arburura Road, southwest of Los Banos",1800,CAL FIRE Madera-Mariposa-Merced Unit,-120.89261,36.96655,2018-01-09 09:56:00,2018-01-09,2017-05-12
491,Nacimiento Fire,2017-05-14 12:00:00,CAL FIRE San Benito-Monterey Unit,Monterey,"Off Nacimiento Lake Drive and Bee Rock Rd., near Bradley",20,CAL FIRE San Benito-Monterey Unit,-120.92482,35.77082,2018-01-09 09:56:00,2018-01-09,2017-05-14
492,Canyon Fire,2017-05-14 12:51:00,CAL FIRE/Riverside County Fire,Riverside,"Highway 79, south of Dump Road, Beaumont",17,CAL FIRE/Riverside County Fire,-116.99229,33.88466,2018-01-09 09:56:00,2018-01-09,2017-05-14
493,Feed Fire,2017-05-14 14:00:00,Kern County Fire,Kern,"Sabastian Rd and Wheeler, southeast of Arvin ",41,Kern County Fire,-118.90003999999999,35.05076,2018-01-09 09:57:00,2018-01-09,2017-05-14
494,Arrow Fire,2017-05-15 13:58:00,CAL FIRE San Luis Obispo Unit,San Luis Obispo,off of Soda Lake,225,CAL FIRE San Luis Obispo Unit,-119.87525,35.21177,2018-01-09 09:57:00,2018-01-09,2017-05-15
495,Bravo Fire,2017-05-15 14:05:00,Kern County Fire,Kern,"Hwy 178 and Mira Monte Drive, 2 miles southeast of Lake Ming",288,Kern County Fire,-118.84466,35.41283,2018-01-09 09:58:00,2018-01-09,2017-05-15
496,Pine Fire,2017-05-16 16:10:00,CAL FIRE San Benito - Monterey Unit,Monterey,"off of Hwy 198 and Pine Valley Road, southwest of King City",18,CAL FIRE San Benito - Monterey Unit,-120.86681999999999,36.1727,2018-01-09 09:58:00,2018-01-09,2017-05-16
497,Lonoak Fire,2017-05-17 15:18:00,CAL FIRE San Benito Monterey Unit,Monterey,"Lonoak Road and Airline Road, east of King City",17,CAL FIRE San Benito Monterey Unit,-120.94328,36.2771,2018-01-09 09:59:00,2018-01-09,2017-05-17
498,41 Fire,2017-05-17 15:30:00,Madera County Fire Department,Madera,"off of Hwy 41 and Ave 11, north of Fresno",150,Madera County Fire Department,-119.79315,36.90967,2018-01-09 10:01:00,2018-01-09,2017-05-17
499,Camp Fire,2017-05-18 08:48:00,CAL FIRE San Luis Obispo Unit,San Luis Obispo,"off of Hwy 1 & Range Rd, northeast of San Luis Obispo ",225,CAL FIRE San Luis Obispo Unit,-120.76463999999999,35.34541,2018-01-09 10:03:00,2018-01-09,2017-05-18
500,Elm Fire,2017-05-18 13:11:00,CAL FIRE/Fresno County Fire,Fresno,"off of Hwy 198 & Fire Stone, south of Coalinga",10343,"CAL FIRE/Fresno County Fire, Fresno County Sheriff’s Office, Fresno County OES, PG&E, BLM, Red Cross, California Highway Patrol",-120.37116,36.12089,2018-01-09 10:04:00,2018-01-09,2017-05-18
501,City Fire,2017-05-18 12:54:00,CAL FIRE/Fresno County Fire,Kings,"off of Hwy 41 & I-5, south of Kettleman City",20,CAL FIRE/Fresno County Fire,-119.91508,35.983000000000004,2018-01-09 10:04:00,2018-01-09,2017-05-18
502,Moraga Fire,2017-05-18 17:25:00,CAL FIRE/Riverside County Fire,Riverside,"Avenue Juan Diaz and Riverside Drive, Jurupa Valley",14,CAL FIRE/Riverside County Fire,-117.44148,33.97155,2018-01-09 10:05:00,2018-01-09,2017-05-18
503,Manning Fire,2017-05-19 23:28:00,CAL FIRE Fresno-Kings Unit,Fresno,"Interstate 5 and Manning Avenue, north of Coalinga",70,CAL FIRE Fresno-Kings Unit,-120.5828,36.60736,2018-01-09 10:05:00,2018-01-09,2017-05-19
504,Taglio Fire,1969-12-31 16:00:00,CAL FIRE Madera-Mariposa-Merced Unit,Merced,"Interstate 5 near Taglio Road, Gustine",12,CAL FIRE Madera-Mariposa-Merced Unit,-121.07761,37.21812,2018-01-09 10:05:00,2018-01-09,1969-12-31
505,Range Fire,2017-05-19 13:10:00,Department of Defense - Camp Roberts,San Luis Obispo,"off of San Antonio Drive and Hwy 101, Camp Roberts",0,Department of Defense - Camp Roberts,-120.80411000000001,35.85253,2018-01-09 10:05:00,2018-01-09,2017-05-19
506,Deluz Fire,2017-05-19 14:45:00,Camp Pendleton Marine Base,San Diego,"Camp Pendleton, north of India Training Area",486,Camp Pendleton Marine Base,-117.32348,33.3906,2018-01-09 10:06:00,2018-01-09,2017-05-19
507,Gate Fire,2017-05-20 23:19:00,CAL FIRE San Diego Unit,San Diego,"off of Hwy 94 and Otay Truck Trail, northwest of Dulzura",2056,CAL FIRE San Diego Unit,-116.80527,32.65597,2018-01-09 10:06:00,2018-01-09,2017-05-20
508,Rocky Fire,2017-05-20 13:11:00,CAL FIRE San Luis Obispo Unit,San Luis Obispo,"off of Rocky Creek Road and Old Abode Canyon Road, east of Atascadero",17,CAL FIRE San Luis Obispo Unit,-120.47399999999999,35.556667,2018-01-09 10:06:00,2018-01-09,2017-05-20
509,Ming Fire,2017-05-20 14:23:00,Kern County Fire,Kern,"Round Mountain Road and Amaya Court, north of Lake Ming",506,Kern County Fire,-118.85896000000001,35.4605,2018-01-09 10:07:00,2018-01-09,2017-05-20
510,Moreno Fire,2017-05-23 13:13:00,CAL FIRE/Riverside County Fire,Riverside,Ironwood Avenue and Moreno Beach Drive,10,CAL FIRE/Riverside County Fire,-117.17773000000001,33.94673,2018-01-09 10:08:00,2018-01-09,2017-05-23
511,Wasioja Fire,2017-05-20 17:54:00,Santa Barbara County,Santa Barbara,"Wasioja Road and Hwy 166, east of New Cuyama ",190,Santa Barbara County,-119.8036,34.9465,2018-01-09 10:07:00,2018-01-09,2017-05-20
512,Ribbonwood Fire,2017-05-24 15:30:00,CAL FIRE San Diego Unit,San Diego,"Off of Ribbonwood Road and Interstate 8, east of El Cajon",25,CAL FIRE San Diego Unit,-116.29296000000001,32.679,2018-01-09 10:10:00,2018-01-09,2017-05-24
513,Bitterwater Fire,2017-05-22 04:50:00,CAL FIRE San Benito-Monterey Unit,San Benito,"Bitterwater Rd X Hwy 25, east of King City",21,CAL FIRE San Benito-Monterey Unit,-120.99552,36.355779999999996,2018-01-09 10:07:00,2018-01-09,2017-05-22
514,Smiley Fire,2017-05-21 16:12:00,CAL FIRE/ Riverside County Fire,Riverside,Reche Canyon Road and Smiley Boulevard,35,CAL FIRE/ Riverside County Fire,-117.20506999999999,33.96419,2018-01-09 10:07:00,2018-01-09,2017-05-21
515,Range Fire,2017-05-25 18:15:00,Camp Pendleton Marine Base,San Diego, Basilone Road X Las Pulgas Road,1000,Camp Pendleton Marine Base,-117.39818000000001,33.34988,2018-01-09 10:17:00,2018-01-09,2017-05-25
516,Lamb Fire,2017-05-25 14:48:00,CAL FIRE/Riverside County Fire,Riverside,"Lamb Canyon & Dump Road, north of Hemet ",120,CAL FIRE/Riverside County Fire,-116.99651000000001,33.882870000000004,2018-01-09 10:16:00,2018-01-09,2017-05-25
517,Champagne Fire,2017-05-28 10:59:00,Kern County Fire Department,Kern,10 miles West of Rosamond,10,Kern County Fire Department,-118.35296000000001,34.87128,2018-01-09 10:17:00,2018-01-09,2017-05-28
518,Rusty Fire,2017-05-28 07:49:00,CAL FIRE Fresno-Kings Unit,Fresno,"off Millerton Rd. and Rusty Spur Ln., 10 miles N. of Clovis",16,CAL FIRE Fresno-Kings Unit,-119.58292,36.96642,2018-01-09 10:17:00,2018-01-09,2017-05-28
519,Serenas Fire,2017-05-28 15:27:00,CAL FIRE Riverside Unit,Riverside,off Avenue 64 and Las Serenas Street,48,CAL FIRE Riverside Unit,-116.07428999999999,33.585770000000004,2018-01-09 10:21:00,2018-01-09,2017-05-28
520,Lombardi Fire,2017-05-28 15:30:00,CAL FIRE Tuolumne-Calaveras Unit,Calaveras,"off Hwy 26 and Hwy 12, 4 miles SW of Mokelumne Hill",15,CAL FIRE Tuolumne-Calaveras Unit,-120.83483999999999,38.199059999999996,2018-01-09 10:21:00,2018-01-09,2017-05-28
521,Panoche Fire,2017-05-28 16:16:00,CAL FIRE Fresno-Kings Unit,Fresno,off Panoche Rd. 4 miles W of I-5 (Fresno County). ,18,CAL FIRE Fresno-Kings Unit,-120.7109,36.61332,2018-01-09 10:21:00,2018-01-09,2017-05-28
522,Matz Fire,2017-05-29 01:20:00,CAL FIRE San Bernardino Unit,San Bernardino,"Big Morongo Canyon Preserve, Morongo Valley",16,CAL FIRE San Bernardino Unit,-116.55326000000001,34.04412,2018-01-09 10:22:00,2018-01-09,2017-05-29
523,Fountain Fire ,2017-05-31 11:30:00,CAL FIRE Tulare Unit,Tulare,"off Avenue 56 & Road 256, 2 miles east of Ducor",79,CAL FIRE Tulare Unit,-119.00334,35.89423,2018-01-09 10:23:00,2018-01-09,2017-05-31
524,Twenty Fire,2017-05-29 15:31:00,CAL FIRE Nevada-Yuba-Placer Unit,Yuba,"off Hwy 20 and Escheman Ln, East of Brown",10,CAL FIRE Nevada-Yuba-Placer Unit,-121.376,39.23205,2018-01-09 10:22:00,2018-01-09,2017-05-29
525,Clay Fire,2017-06-01 15:38:00,CAL FIRE Amador-El Dorado Unit,Sacramento,"off Clay East Rd, east of Herald",68,CAL FIRE Amador-El Dorado Unit,-121.11113,38.337070000000004,2018-01-09 10:22:00,2018-01-09,2017-06-01
526,Fairview Fire,2017-06-01 16:12:00,CAL FIRE/Riverside County Fire,Riverside,"Fairview Road & Old Morongo Road, west of Desert Hot Springs ",26,CAL FIRE/Riverside County Fire,-116.59719,33.94788,2018-01-09 10:23:00,2018-01-09,2017-06-01
527,Elk Fire,2017-06-02 18:55:00,Kern County Fire Department,Kern,4 miles south of Buttonwillow ,16,Kern County Fire Department,-119.2877,35.188,2018-01-09 10:23:00,2018-01-09,2017-06-02
528,Jones Fire,2017-06-03 13:09:00,CAL FIRE Lassen-Modoc Unit,Modoc,"Off Hwy 395, south of Alturas",42,CAL FIRE Lassen-Modoc Unit,-120.53443,41.38247,2018-01-09 10:24:00,2018-01-09,2017-06-03
529,Vernon Fire,2017-06-03 12:09:00,CAL FIRE / Riverside County Fire,Riverside,Off Soboba Road in San Jacinto,27,CAL FIRE / Riverside County Fire,-116.96078999999999,33.82165,2018-01-09 10:24:00,2018-01-09,2017-06-03
530,5 Fire,2017-06-03 15:39:00,Los Angeles County Fire Department,Los Angeles,"I-5, North of Lake Hughes Rd, Community of Cataic ",25,Los Angeles County Fire Department,-118.37539,34.29931,2018-01-09 10:24:00,2018-01-09,2017-06-03
531,Creek Fire ,2017-06-04 22:11:00,"Kern County Fire Department, CAL FIRE and Bureau of Land Management",Kern,"off Erskine Creek Rd and Pasadena Ln, southwest of Lake Isabella",33,"Kern County Fire Department, CAL FIRE and Bureau of Land Management",-118.4642,35.60633,2018-01-09 10:24:00,2018-01-09,2017-06-04
532,Spring Fire ,2017-06-04 16:22:00,CAL FIRE Tehama-Glenn Unit,Tehama,"off of Spring Branch Rd, 7 miles east of Cottonwood",78,CAL FIRE Tehama-Glenn Unit,-122.13088,40.38944,2018-01-09 10:25:00,2018-01-09,2017-06-04
533,River Fire,2017-06-04 16:12:00,CAL FIRE Lassen-Modoc Unit,Lassen,"east of Hwy 395, Doyle",67,CAL FIRE Lassen-Modoc Unit,-120.1064,40.03392,2018-01-09 10:26:00,2018-01-09,2017-06-04
534,Shirleon Fire ,2017-06-04 16:48:00,CAL FIRE/Riverside County Fire,Riverside,"Old Banning Idyllwild Road & Mount Edna Road, Banning",10,CAL FIRE/Riverside County Fire,-116.88096999999999,33.87107,2018-01-09 10:26:00,2018-01-09,2017-06-04
535,Fish Fire,2017-06-05 13:17:00,CAL FIRE Santa Clara Unit,Contra Costa,"Hwy 24, Orinda  ",20,CAL FIRE Santa Clara Unit,-122.2102,37.86549,2018-01-09 10:26:00,2018-01-09,2017-06-05
536,Pine Fire,2017-06-05 14:02:00,Kern County Fire,Kern,"Pine Mountain Rd., 10 miles NE of Bakersfield",10,Kern County Fire,-118.79651299999999,35.564124,2018-01-09 10:27:00,2018-01-09,2017-06-05
537,Wilbur Fire,2017-06-06 12:43:00,CAL FIRE/Butte County Fire,Butte,"Wilbur rd, north of Oroville Dam blvd    ",91,CAL FIRE/Butte County Fire,-121.64896999999999,39.52499,2018-01-09 10:27:00,2018-01-09,2017-06-06
538,Whitepine Fire,2017-06-06 16:38:00,CAL FIRE Siskiyou Unit,Siskiyou,"Whitepine Road and Blue Heron Place, 10 miles east of Hornbrook ",46,CAL FIRE Siskiyou Unit,-122.4571,41.8721,2018-01-09 10:27:00,2018-01-09,2017-06-06
539,Dinely Fire,2017-06-07 11:55:00,CAL FIRE Tulare Unit,Tulare,"off of Dinely Drive in Three Rivers, northeast of Lake Kaweah",339,"CAL FIRE Tulare Unit, CHP, Tulare Co. Fire Dept., Tulare Co. Sheriff’s Dept., CalOES, CDCR, BLM, NPS, American Red Cross",-118.87676,36.458090000000006,2018-01-09 10:28:00,2018-01-09,2017-06-07
540,26 Fire,2017-06-07 21:00:00,CAL FIRE Madera-Mariposa-Merced Unit,Madera,"off of Road 29, north of Ave 26, east of Chowchilla",157,CAL FIRE Madera-Mariposa-Merced Unit,-120.0193,37.127590000000005,2018-01-09 10:28:00,2018-01-09,2017-06-07
541,Bodfish Fire,2017-06-10 12:17:00,Kern County Fire Department,Kern,5 miles south of Lake Isabella,206,Kern County Fire Department,-118.47939,35.598040000000005,2018-01-09 10:29:00,2018-01-09,2017-06-10
542,Island Fire,2017-06-09 13:00:00,Bureau of Land Management,,"off Cocopah Rd and Ocean Bridge, northeast of Winterhaven",0,Bureau of Land Management,-114.57841499999999,32.779139,2018-01-09 10:29:00,2018-01-09,2017-06-09
543,Breckenridge Fire,2017-06-09 04:53:00,Kern County Fire Department,Kern,"Breckenridge Rd and Comanche Dr., 5 miles east of Bakersfield ",35,Kern County Fire Department,-118.84133999999999,35.373509999999996,2018-01-09 10:29:00,2018-01-09,2017-06-09
544,Hog Fire,2017-06-09 16:15:00,CAL FIRE San Benito-Monterey Unit,Monterey,"Hog Canyon Rd & Ranchita Canyon Rd, southeast of Parkfield",14,CAL FIRE San Benito-Monterey Unit,-120.52508,35.80375,2018-01-09 10:29:00,2018-01-09,2017-06-09
545,Oakwood Fire,2017-06-10 13:19:00,CAL FIRE Madera-Mariposa-Merced Unit,Madera,"Oakwood Road and Road 406, northeast of Madera",1431,"CAL FIRE Madera-Mariposa-Merced Unit, PG&E, USFS, CHP, Madera Sheriff's Office, Fresno County Fire, Madera County Fire",-119.8011,37.0825,2018-01-09 10:30:00,2018-01-09,2017-06-10
546,Wild Fire,2017-06-11 10:46:00,CAL FIRE Fresno Unit / Fresno County Fire,Fresno,"Jensen Ave at Ohio Ave, Mendota",186,CAL FIRE Fresno Unit / Fresno County Fire,-120.405077,36.704679,2018-01-09 10:30:00,2018-01-09,2017-06-11
547,Refuge Fire,2017-06-13 10:18:00,Sonoma-Lake Napa Unit,Napa,"Knoxville Rd and Eastside Rd, north end of Lake Berryessa ",22,Sonoma-Lake Napa Unit,-122.2654,38.68347,2018-01-09 10:31:00,2018-01-09,2017-06-13
548,Pleyto Fire,2017-06-11 18:12:00,CAL FIRE San Benito-Monterey Unit,Monterey,"New Pleyto Road cross of Stern st, Lockwood",32,CAL FIRE San Benito-Monterey Unit,-120.98368400000001,35.902149,2018-01-09 10:30:00,2018-01-09,2017-06-11
549,Monterey Fire,2017-06-11 17:15:00,CAL FIRE/Fresno County Fire,Fresno,"off South Monterey Ave. & W South Ave., near Tranquillity ",450,CAL FIRE/Fresno County Fire,-120.36934699999999,36.616986,2018-01-09 10:30:00,2018-01-09,2017-06-11
550,Tivy Fire,2017-06-11 22:45:00,CALFIRE/Fresno County Fire,Fresno,near Tivy Mountain,76,CALFIRE/Fresno County Fire,-119.35901000000001,36.8005,2018-01-09 10:31:00,2018-01-09,2017-06-11
551,Red Fire,2017-06-11 18:49:00,CAL FIRE Tuolumne-Calaveras Unit,Tuolumne,"Red Hills Road & Six Bit Gulch Road, 2 miles southwest of Chinese Camp",38,CAL FIRE Tuolumne-Calaveras Unit,-120.45268,37.85137,2018-01-09 10:31:00,2018-01-09,2017-06-11
552,Valley Fire,2017-06-13 12:00:00,CAL FIRE / Riverside County Fire,Riverside,"San Ignacio Road and East Benton Road, Temecula",33,CAL FIRE / Riverside County Fire,-116.97203600000002,33.584036,2018-01-09 10:32:00,2018-01-09,2017-06-13
553,Douglas Fire,2017-06-13 14:31:00,MCI Camp Pendleton,San Diego,"Hwy. 76 & College Blvd., Oceanside, Camp Pendleton",50,MCI Camp Pendleton,-117.29508999999999,33.23281,2018-01-09 10:32:00,2018-01-09,2017-06-13
